label,n,mean_extra,median_extra,std_extra,phi_ar1,n_eff,hodges_lehmann,sign_p,sign_n_pos,sign_n,wilcox_stat,wilcox_p,ttest_neff_t,ttest_neff_p,ttest_neff_df,bootstrap_p,evento,carburante,metodo
v1_naive,32,0.016833,-0.003717,0.047885,0.9006,2.0,0.018286,0.811457,14,32,325.0,0.130923,0.4971,0.353145,1.0,0.114057,Hormuz (Feb 2026),benzina,v1_naive
v3_arima,32,0.006925,-0.012258,0.044929,0.8861,2.0,0.007295,0.892336,13,32,296.0,0.280379,0.218,0.431688,1.0,0.275638,Hormuz (Feb 2026),benzina,v3_arima
v5_causalimpact,41,0.034986,0.04385,0.047638,0.9224,2.0,0.036129,0.013767,28,41,695.0,0.000192,1.0386,0.243969,1.0,0.002001,Hormuz (Feb 2026),benzina,v5_causalimpact
v7_theilsen,32,0.013878,-0.006309,0.047415,0.8987,2.0,0.015166,0.892336,13,32,319.0,0.156334,0.4139,0.375074,1.0,0.148574,Hormuz (Feb 2026),benzina,v7_theilsen
v8_pymc,32,0.001416,-0.017177,0.045724,0.8913,2.0,0.00216,0.892336,13,32,277.0,0.408837,0.0438,0.486066,1.0,0.446223,Hormuz (Feb 2026),benzina,v8_pymc
v1_naive,32,-0.025741,-0.010698,0.052415,0.4704,11.5,-0.024848,0.9965,9,32,127.0,0.995601,-1.6672,0.937543,10.5,0.983492,Hormuz (Feb 2026),gasolio,v1_naive
v3_arima,32,-0.006601,0.005272,0.054088,0.502,10.6,-0.00498,0.298307,18,32,241.0,0.667739,-0.3975,0.650166,9.6,0.694847,Hormuz (Feb 2026),gasolio,v3_arima
v5_causalimpact,41,0.00348,0.017534,0.05136,0.5739,11.1,0.00853,0.029792,27,41,493.0,0.212875,0.2257,0.412962,10.1,0.372686,Hormuz (Feb 2026),gasolio,v5_causalimpact
v7_theilsen,32,-0.030631,-0.015741,0.052293,0.468,11.6,-0.029745,0.9965,9,32,90.0,0.999671,-1.9948,0.96379,10.6,0.994997,Hormuz (Feb 2026),gasolio,v7_theilsen
v8_pymc,32,-0.021498,-0.006004,0.052786,0.4777,11.3,-0.020726,0.892336,13,32,155.0,0.980287,-1.3697,0.900062,10.3,0.958479,Hormuz (Feb 2026),gasolio,v8_pymc
v1_naive,40,0.017816,0.017415,0.014693,0.9139,2.0,0.017759,2.1e-05,33,40,789.0,0.0,1.7148,0.168046,1.0,0.0005,Iran-Israele (Giu 2025),benzina,v1_naive
v3_arima,40,0.017816,0.017415,0.014693,0.9139,2.0,0.017759,2.1e-05,33,40,789.0,0.0,1.7148,0.168046,1.0,0.0005,Iran-Israele (Giu 2025),benzina,v3_arima
v5_causalimpact,41,0.047205,0.054248,0.02038,0.9559,2.0,0.05304,0.0,41,41,861.0,0.0,3.2757,0.094313,1.0,0.0005,Iran-Israele (Giu 2025),benzina,v5_causalimpact
v7_theilsen,40,0.01886,0.018977,0.014912,0.9163,2.0,0.019262,2.1e-05,33,40,790.0,0.0,1.7887,0.162268,1.0,0.0005,Iran-Israele (Giu 2025),benzina,v7_theilsen
v8_pymc,40,0.027907,0.029594,0.015739,0.9247,2.0,0.029694,0.0,36,40,803.0,0.0,2.5076,0.120787,1.0,0.0005,Iran-Israele (Giu 2025),benzina,v8_pymc
v1_naive,40,0.022453,0.036737,0.037052,0.8711,2.8,0.023533,0.040345,26,40,656.0,0.000319,1.0058,0.216411,1.8,0.004002,Iran-Israele (Giu 2025),gasolio,v1_naive
v3_arima,40,-0.006524,-0.003554,0.032008,0.8308,3.7,-0.00641,0.92307,16,40,325.0,0.873254,-0.3919,0.638007,2.7,0.796898,Iran-Israele (Giu 2025),gasolio,v3_arima
v5_causalimpact,41,0.037906,0.055163,0.040274,0.8923,2.3,0.038816,0.000215,32,41,760.0,2e-06,1.4379,0.170414,1.3,0.0005,Iran-Israele (Giu 2025),gasolio,v5_causalimpact
v7_theilsen,40,0.022514,0.037286,0.037356,0.8731,2.7,0.023529,0.040345,26,40,657.0,0.000302,0.9921,0.220248,1.7,0.004002,Iran-Israele (Giu 2025),gasolio,v7_theilsen
v8_pymc,40,0.029286,0.04619,0.03878,0.8818,2.5,0.029273,0.003213,29,40,697.0,2.4e-05,1.1971,0.192884,1.5,0.001001,Iran-Israele (Giu 2025),gasolio,v8_pymc
v1_naive,38,0.082747,0.132292,0.094381,0.9284,2.0,0.082445,0.000829,29,38,662.0,2e-06,1.2399,0.216038,1.0,0.0005,Ucraina (Feb 2022),benzina,v1_naive
v3_arima,38,0.065932,0.110417,0.092102,0.9249,2.0,0.066399,0.002549,28,38,635.0,2.5e-05,1.0124,0.248041,1.0,0.002001,Ucraina (Feb 2022),benzina,v3_arima
v5_causalimpact,41,0.07203,0.115826,0.091414,0.929,2.0,0.081402,0.000725,31,41,754.0,4e-06,1.1143,0.232805,1.0,0.0005,Ucraina (Feb 2022),benzina,v5_causalimpact
v7_theilsen,38,0.077312,0.125498,0.093764,0.9275,2.0,0.077192,0.000829,29,38,660.0,3e-06,1.1661,0.225643,1.0,0.0005,Ucraina (Feb 2022),benzina,v7_theilsen
v8_pymc,38,0.065142,0.109792,0.092178,0.925,2.0,0.065593,0.002549,28,38,632.0,3.1e-05,0.9994,0.250093,1.0,0.002001,Ucraina (Feb 2022),benzina,v8_pymc
v1_naive,38,0.016844,0.037891,0.154243,0.8519,3.0,0.026623,0.071653,24,38,436.0,0.174959,0.1904,0.433139,2.0,0.329665,Ucraina (Feb 2022),gasolio,v1_naive
v3_arima,38,0.01745,0.039102,0.154526,0.8525,3.0,0.027331,0.036476,25,38,439.0,0.163985,0.1964,0.431114,2.0,0.325163,Ucraina (Feb 2022),gasolio,v3_arima
v5_causalimpact,41,0.034078,0.052881,0.158004,0.8686,2.9,0.047898,0.013767,28,41,552.0,0.05882,0.3663,0.375591,1.9,0.1991,Ucraina (Feb 2022),gasolio,v5_causalimpact
v7_theilsen,38,0.013968,0.034636,0.154048,0.8515,3.0,0.023772,0.071653,24,38,429.0,0.202281,0.1583,0.444231,2.0,0.357679,Ucraina (Feb 2022),gasolio,v7_theilsen
v8_pymc,38,0.026508,0.050438,0.15576,0.8547,3.0,0.036165,0.016776,26,38,456.0,0.110216,0.2936,0.3985,2.0,0.249125,Ucraina (Feb 2022),gasolio,v8_pymc
